supplier_id,audited,audit_date,audit_score,non_compliance_level,action_deadline_days,audited_by_third_party
S0001,True,2025-11-08,93.09,None,365.0,False
S0002,True,2025-10-27,74.81,None,365.0,True
S0003,False,,,,,False
S0004,False,,,,,False
S0005,True,2024-09-09,73.46,Minor,180.0,False
S0006,True,2024-05-16,65.83,Major,30.0,True
S0007,True,2025-08-29,63.28,Minor,180.0,True
S0008,False,,,,,False
S0009,False,,,,,False
S0010,True,2024-10-02,81.19,Minor,180.0,True
S0011,True,2025-01-24,56.48,None,365.0,False
S0012,True,2025-08-11,57.12,Minor,180.0,False
S0013,False,,,,,False
S0014,True,2024-07-23,78.73,None,365.0,True
S0015,True,2025-09-23,47.82,Major,30.0,True
S0016,False,,,,,False
S0017,False,,,,,False
S0018,True,2024-06-25,70.86,None,365.0,True
S0019,False,,,,,False
S0020,False,,,,,False
S0021,False,,,,,False
S0022,False,,,,,False
S0023,False,,,,,False
S0024,False,,,,,False
S0025,True,2025-06-29,63.76,None,365.0,False
S0026,True,2025-02-06,65.04,Minor,180.0,True
S0027,False,,,,,False
S0028,True,2024-12-26,87.11,None,365.0,True
S0029,False,,,,,False
S0030,False,,,,,False
S0031,False,,,,,False
S0032,True,2024-01-30,71.16,None,365.0,True
S0033,False,,,,,False
S0034,False,,,,,False
S0035,True,2024-04-21,72.92,None,365.0,True
S0036,False,,,,,False
S0037,False,,,,,False
S0038,True,2025-05-01,86.27,Minor,180.0,True
S0039,False,,,,,False
S0040,False,,,,,False
S0041,False,,,,,False
S0042,True,2025-03-04,53.97,Major,30.0,False
S0043,True,2024-11-21,65.38,Minor,180.0,True
S0044,False,,,,,False
S0045,True,2024-11-23,80.25,None,365.0,True
S0046,True,2025-01-27,85.01,None,365.0,True
S0047,False,,,,,False
S0048,True,2024-10-15,86.29,None,365.0,True
S0049,True,2025-04-16,83.92,None,365.0,True
S0050,True,2024-01-15,55.63,Minor,180.0,False
S0051,False,,,,,False
S0052,False,,,,,False
S0053,False,,,,,False
S0054,True,2024-05-29,91.16,None,365.0,True
S0055,True,2025-01-19,78.07,None,365.0,True
S0056,False,,,,,False
S0057,True,2025-11-09,42.43,Major,30.0,True
S0058,False,,,,,False
S0059,False,,,,,False
S0060,True,2024-03-28,41.05,Major,30.0,True
S0061,False,,,,,False
S0062,False,,,,,False
S0063,False,,,,,False
S0064,False,,,,,False
S0065,False,,,,,False
S0066,False,,,,,False
S0067,True,2025-08-08,69.28,Minor,180.0,False
S0068,False,,,,,False
S0069,False,,,,,False
S0070,True,2025-10-26,68.47,None,365.0,False
S0071,False,,,,,False
S0072,False,,,,,False
S0073,False,,,,,False
S0074,True,2025-11-19,97.72,None,365.0,True
S0075,False,,,,,False
S0076,False,,,,,False
S0077,True,2025-07-22,81.27,None,365.0,False
S0078,True,2024-04-05,66.36,Minor,180.0,True
S0079,True,2024-12-29,79.62,None,365.0,False
S0080,False,,,,,False
S0081,True,2024-04-23,72.77,None,365.0,True
S0082,False,,,,,False
S0083,False,,,,,False
S0084,True,2024-11-11,58.03,Minor,180.0,False
S0085,False,,,,,False
S0086,False,,,,,False
S0087,False,,,,,False
S0088,False,,,,,False
S0089,True,2025-03-30,78.58,None,365.0,True
S0090,True,2024-05-13,49.87,Major,30.0,True
S0091,False,,,,,False
S0092,False,,,,,False
S0093,True,2025-02-23,81.58,None,365.0,True
S0094,False,,,,,False
S0095,False,,,,,False
S0096,False,,,,,False
S0097,False,,,,,False
S0098,False,,,,,False
S0099,False,,,,,False
S0100,False,,,,,False
S0101,False,,,,,False
S0102,True,2025-06-22,88.93,None,365.0,False
S0103,False,,,,,False
S0104,True,2024-09-01,73.92,None,365.0,False
S0105,True,2024-12-19,96.57,None,365.0,True
S0106,False,,,,,False
S0107,False,,,,,False
S0108,False,,,,,False
S0109,True,2025-04-18,55.26,None,365.0,True
S0110,False,,,,,False
S0111,False,,,,,False
S0112,True,2024-03-03,89.88,None,365.0,False
S0113,False,,,,,False
S0114,False,,,,,False
