supplier_id,supplier_name,country,region,country_risk_level,country_risk_weight,category,tier,dependency_level,annual_spend_chf,onboarding_date,charter_signed,made_in_disclosed,traceability_level
S0001,Eclipse Supply,Malaysia,Asia,Medium,15,Metals & Minerals,Tier 2,Low,452847.07,2023-04-25,True,True,Partial
S0002,Lumen Partners,Indonesia,Asia,High,25,Packaging,Tier 1,Low,145712.18,2021-12-25,True,True,Full
S0003,Atlas Logistics,South Africa,Africa,Medium,15,Components,Tier 1,Medium,296895.25,2016-07-31,True,True,Partial
S0004,Aurora Industries,Spain,Europe,Low,5,Components,Tier 2,Low,252364.28,2024-08-27,True,True,Full
S0005,Meridian Services,Taiwan,Asia,Low,5,Packaging,Tier 1,High,921146.05,2016-03-16,True,True,Partial
S0006,Cascade Supply,Indonesia,Asia,High,25,Components,Tier 1,Medium,661592.54,2025-09-10,True,False,Limited
S0007,Meridian Systems,Tunisia,Africa,Medium,15,Components,Tier 2,Low,209056.31,2017-10-25,True,True,Full
S0008,Meridian Systems,Malaysia,Asia,Medium,15,Metals & Minerals,Tier 2,Low,469764.35,2017-10-31,True,True,Full
S0009,Atlas Group,South Korea,Asia,Low,5,Logistics,Tier 2,Medium,167887.75,2020-04-25,True,True,Full
S0010,Meridian Systems,Mexico,Americas,Medium,15,Metals & Minerals,Tier 3,Medium,50364.92,2018-11-28,True,True,Partial
S0011,Vega Group,India,Asia,High,25,Metals & Minerals,Tier 1,Medium,159243.93,2018-12-02,True,True,Partial
S0012,Lumen Materials,Morocco,Africa,Medium,15,Components,Tier 3,Low,299261.28,2019-08-30,True,True,Full
S0013,Eclipse Industries,United Arab Emirates,Middle East,Medium,15,IT Services,Tier 1,Low,525717.36,2017-12-29,True,True,Full
S0014,Nimbus Materials,Japan,Asia,Low,5,Facility,Tier 2,Low,115480.85,2021-02-19,True,True,Full
S0015,Helios Systems,India,Asia,High,25,Metals & Minerals,Tier 2,Medium,196896.26,2022-01-26,False,True,Partial
S0016,Meridian Partners,Brazil,Americas,Medium,15,Chemicals,Tier 1,Low,177857.52,2017-09-14,True,True,Limited
S0017,Novatek Industries,Switzerland,Europe,Low,5,Logistics,Tier 1,Low,100658.52,2022-11-02,True,False,Limited
S0018,Zenith Materials,Canada,Americas,Low,5,Tools & Machinery,Tier 3,Low,184299.87,2020-05-25,True,True,Partial
S0019,Meridian Partners,Spain,Europe,Low,5,IT Services,Tier 3,Low,104654.46,2016-05-05,True,True,Limited
S0020,Eclipse Manufacturing,Singapore,Asia,Low,5,Facility,Tier 1,Low,69830.86,2025-02-01,False,True,Partial
S0021,Argent Systems,Italy,Europe,Low,5,Components,Tier 1,Low,691413.47,2019-02-11,True,True,Full
S0022,Novatek Partners,France,Europe,Low,5,Components,Tier 3,High,140224.94,2021-03-13,True,True,Partial
S0023,Helios Supply,Spain,Europe,Low,5,Facility,Tier 2,Medium,47807.23,2025-09-08,True,True,Partial
S0024,Helios Industries,Japan,Asia,Low,5,Packaging,Tier 1,Low,190515.53,2023-09-30,True,True,Limited
S0025,Orion Logistics,Tunisia,Africa,Medium,15,Facility,Tier 2,Low,249759.65,2016-11-18,True,True,Full
S0026,Eclipse Industries,India,Asia,High,25,Components,Tier 3,Low,266937.3,2017-12-16,True,True,Full
S0027,Alpine Materials,Germany,Europe,Low,5,Tools & Machinery,Tier 2,Low,277456.6,2019-11-19,True,True,Partial
S0028,Argent Partners,Tunisia,Africa,Medium,15,Metals & Minerals,Tier 1,High,450258.9,2018-09-17,True,True,Partial
S0029,Argent Services,Japan,Asia,Low,5,Facility,Tier 1,Low,112587.84,2018-10-22,False,True,Partial
S0030,Cascade Materials,France,Europe,Low,5,Metals & Minerals,Tier 1,High,1334622.14,2021-06-03,True,True,Partial
S0031,Vega Industries,Germany,Europe,Low,5,Logistics,Tier 2,Low,179287.91,2016-09-29,True,False,Full
S0032,Atlas Components,Philippines,Asia,Medium,15,Metals & Minerals,Tier 2,Medium,223657.83,2025-11-11,True,True,Partial
S0033,Cobalt Holdings,Mexico,Americas,Medium,15,Components,Tier 2,Low,177087.78,2016-01-21,True,True,Full
S0034,Meridian Components,Indonesia,Asia,High,25,Consulting,Tier 1,Low,265492.28,2024-02-24,True,False,Limited
S0035,Eclipse Industries,Morocco,Africa,Medium,15,Components,Tier 1,Low,816887.76,2023-09-16,True,False,Limited
S0036,Helios Partners,Japan,Asia,Low,5,Chemicals,Tier 1,Medium,342841.7,2016-09-27,False,True,Full
S0037,Cobalt Logistics,Spain,Europe,Low,5,Components,Tier 2,Medium,155525.41,2024-08-16,True,True,Full
S0038,Orion Systems,New Zealand,Oceania,Low,5,Tools & Machinery,Tier 1,Medium,279592.22,2022-03-25,True,True,Full
S0039,Argent Materials,Mexico,Americas,Medium,15,Metals & Minerals,Tier 1,Medium,244047.45,2019-02-09,True,True,Limited
S0040,Meridian Industries,Thailand,Asia,Medium,15,Metals & Minerals,Tier 1,Medium,308639.8,2019-04-01,True,True,Partial
S0041,Vega Materials,New Zealand,Oceania,Low,5,Components,Tier 2,Medium,583009.69,2024-11-12,True,True,Limited
S0042,Atlas Group,Canada,Americas,Low,5,Tools & Machinery,Tier 3,Medium,688772.61,2020-09-19,True,True,Partial
S0043,Alpine Manufacturing,United Arab Emirates,Middle East,Medium,15,IT Services,Tier 2,Low,184755.74,2023-08-08,True,True,Partial
S0044,Lumen Components,Canada,Americas,Low,5,Components,Tier 3,Low,138909.6,2021-08-10,True,True,Full
S0045,Cascade Partners,Tunisia,Africa,Medium,15,Components,Tier 2,High,473203.7,2021-03-22,True,True,Partial
S0046,Helios Holdings,Turkey,Europe/Asia,Medium,15,Tools & Machinery,Tier 1,High,2003038.66,2020-04-09,True,False,Full
S0047,Novatek Logistics,South Africa,Africa,Medium,15,Components,Tier 2,Low,326301.18,2019-02-21,False,True,Limited
S0048,Lumen Components,France,Europe,Low,5,Facility,Tier 1,High,205006.66,2021-01-30,True,True,Partial
S0049,Meridian Logistics,Morocco,Africa,Medium,15,Packaging,Tier 3,High,141985.92,2020-02-06,True,True,Full
S0050,Nimbus Systems,Vietnam,Asia,High,25,Components,Tier 1,Low,476463.99,2023-07-20,True,True,Partial
S0051,Nimbus Holdings,Taiwan,Asia,Low,5,Tools & Machinery,Tier 2,Low,159395.46,2025-04-16,True,True,Full
S0052,Zenith Materials,Philippines,Asia,Medium,15,IT Services,Tier 1,Low,108944.56,2024-01-28,True,True,Limited
S0053,Lumen Logistics,Japan,Asia,Low,5,Metals & Minerals,Tier 1,Medium,744731.52,2024-01-12,True,True,Partial
S0054,Cobalt Group,Canada,Americas,Low,5,Chemicals,Tier 1,Low,211715.97,2017-11-11,False,True,Partial
S0055,Alpine Supply,New Zealand,Oceania,Low,5,IT Services,Tier 1,Medium,175898.44,2024-01-26,True,True,Partial
S0056,Cascade Supply,Singapore,Asia,Low,5,Packaging,Tier 1,High,565191.35,2024-12-14,True,True,Full
S0057,Cobalt Holdings,India,Asia,High,25,Metals & Minerals,Tier 1,Low,204191.77,2018-04-11,True,True,Partial
S0058,Cobalt Manufacturing,Saudi Arabia,Middle East,Medium,15,Facility,Tier 1,Medium,125225.36,2020-04-07,True,False,Partial
S0059,Cobalt Supply,Mexico,Americas,Medium,15,Facility,Tier 2,Low,175321.6,2016-01-26,True,True,Full
S0060,Argent Materials,South Korea,Asia,Low,5,Components,Tier 1,Low,441221.18,2021-02-07,True,True,Full
S0061,Nimbus Holdings,South Korea,Asia,Low,5,Components,Tier 1,Low,115400.13,2017-03-13,True,True,Limited
S0062,Nimbus Group,South Korea,Asia,Low,5,Metals & Minerals,Tier 2,Medium,217384.33,2019-05-17,True,False,Full
S0063,Alpine Group,Thailand,Asia,Medium,15,Facility,Tier 1,Medium,143053.14,2021-03-08,True,True,Partial
S0064,Eclipse Industries,Turkey,Europe/Asia,Medium,15,IT Services,Tier 2,Medium,191132.42,2023-01-10,True,False,Limited
S0065,Aurora Group,Tunisia,Africa,Medium,15,Logistics,Tier 2,Low,169994.5,2025-08-13,True,True,Full
S0066,Aurora Supply,Turkey,Europe/Asia,Medium,15,Components,Tier 1,Medium,337358.23,2018-07-08,True,True,Limited
S0067,Lumen Industries,China,Asia,High,25,Metals & Minerals,Tier 1,High,123431.8,2018-11-05,True,True,Partial
S0068,Helios Holdings,Singapore,Asia,Low,5,Metals & Minerals,Tier 1,Medium,350545.66,2016-05-14,True,True,Partial
S0069,Zenith Materials,United States,Americas,Low,5,Packaging,Tier 1,Low,170789.0,2016-07-06,True,False,Partial
S0070,Argent Components,Brazil,Americas,Medium,15,Metals & Minerals,Tier 1,Low,2569061.08,2018-10-14,True,False,Partial
S0071,Zenith Supply,Germany,Europe,Low,5,Logistics,Tier 2,Low,118609.55,2017-06-12,True,True,Partial
S0072,Atlas Industries,United Arab Emirates,Middle East,Medium,15,Consulting,Tier 2,Low,176084.44,2020-11-21,True,True,Partial
S0073,Orion Group,Australia,Oceania,Low,5,Packaging,Tier 1,Low,406060.83,2018-05-17,True,False,Partial
S0074,Nimbus Holdings,United Kingdom,Europe,Low,5,Facility,Tier 3,Low,193061.39,2023-04-11,True,True,Partial
S0075,Vega Holdings,Mexico,Americas,Medium,15,Components,Tier 1,High,1759774.86,2022-05-01,True,True,Partial
S0076,Atlas Logistics,Japan,Asia,Low,5,Components,Tier 1,High,186648.07,2021-05-09,True,True,Partial
S0077,Nimbus Manufacturing,New Zealand,Oceania,Low,5,Logistics,Tier 2,Medium,62633.28,2016-05-28,True,True,Full
S0078,Novatek Group,Thailand,Asia,Medium,15,Facility,Tier 2,Medium,87942.89,2021-11-26,True,True,Full
S0079,Eclipse Services,South Korea,Asia,Low,5,Components,Tier 2,Low,88027.78,2022-06-12,True,True,Limited
S0080,Eclipse Materials,Morocco,Africa,Medium,15,Facility,Tier 1,Low,171931.32,2017-09-28,True,True,Full
S0081,Helios Components,United States,Americas,Low,5,Components,Tier 1,Medium,171599.4,2025-05-12,False,True,Full
S0082,Eclipse Logistics,Brazil,Americas,Medium,15,Components,Tier 1,Low,1237253.9,2017-05-16,True,True,Limited
S0083,Cobalt Manufacturing,South Korea,Asia,Low,5,Consulting,Tier 2,Medium,73930.33,2025-03-29,True,True,Full
S0084,Helios Holdings,Turkey,Europe/Asia,Medium,15,Components,Tier 1,High,442772.68,2024-10-07,True,True,Partial
S0085,Eclipse Group,Malaysia,Asia,Medium,15,IT Services,Tier 1,Medium,312017.26,2024-03-01,False,True,Full
S0086,Vega Group,Philippines,Asia,Medium,15,Logistics,Tier 2,Medium,51678.11,2021-07-19,True,False,Full
S0087,Aurora Systems,Brazil,Americas,Medium,15,Logistics,Tier 1,High,71970.89,2016-12-05,True,True,Partial
S0088,Aurora Industries,Germany,Europe,Low,5,Metals & Minerals,Tier 1,Low,415054.22,2024-12-18,True,True,Partial
S0089,Zenith Systems,Canada,Americas,Low,5,Components,Tier 1,High,705292.03,2019-05-22,True,True,Full
S0090,Cascade Materials,Indonesia,Asia,High,25,IT Services,Tier 3,Low,197733.49,2019-06-28,True,True,Limited
S0091,Cobalt Logistics,Germany,Europe,Low,5,Metals & Minerals,Tier 2,Medium,462079.25,2024-11-11,True,False,Partial
S0092,Argent Services,South Korea,Asia,Low,5,Packaging,Tier 1,Low,206403.39,2023-10-17,True,True,Limited
S0093,Zenith Systems,Philippines,Asia,Medium,15,Components,Tier 1,High,332515.32,2017-08-12,True,True,Limited
S0094,Orion Holdings,Saudi Arabia,Middle East,Medium,15,Components,Tier 1,Medium,431171.12,2024-12-23,True,True,Limited
S0095,Cascade Materials,South Africa,Africa,Medium,15,IT Services,Tier 1,Low,205758.41,2016-01-19,True,True,Partial
S0096,Helios Services,Turkey,Europe/Asia,Medium,15,Packaging,Tier 1,Medium,91905.75,2017-08-09,True,True,Full
S0097,Eclipse Manufacturing,Mexico,Americas,Medium,15,Components,Tier 3,Low,1035395.52,2022-07-07,True,False,Partial
S0098,Aurora Partners,South Africa,Africa,Medium,15,Metals & Minerals,Tier 1,Medium,523097.79,2018-03-29,True,True,Full
S0099,Novatek Materials,Spain,Europe,Low,5,Tools & Machinery,Tier 1,Medium,164178.91,2019-04-02,True,False,Partial
S0100,Helios Systems,Brazil,Americas,Medium,15,Logistics,Tier 1,Low,305488.58,2023-06-17,False,False,Partial
S0101,Cobalt Components,Saudi Arabia,Middle East,Medium,15,Metals & Minerals,Tier 3,Low,503015.04,2022-07-28,True,True,Partial
S0102,Aurora Group,India,Asia,High,25,Logistics,Tier 1,High,362300.18,2021-09-05,True,True,Limited
S0103,Lumen Manufacturing,Turkey,Europe/Asia,Medium,15,Tools & Machinery,Tier 1,Medium,294238.77,2018-08-25,True,True,Partial
S0104,Atlas Components,Australia,Oceania,Low,5,Metals & Minerals,Tier 1,Low,195921.32,2018-06-09,True,True,Partial
S0105,Meridian Group,South Korea,Asia,Low,5,Components,Tier 1,High,538627.56,2024-11-29,True,True,Partial
S0106,Vega Services,Tunisia,Africa,Medium,15,Consulting,Tier 2,Medium,181752.77,2022-04-22,True,False,Full
S0107,Cascade Systems,Australia,Oceania,Low,5,Metals & Minerals,Tier 2,Low,307533.7,2021-10-06,True,True,Full
S0108,Atlas Systems,Spain,Europe,Low,5,Metals & Minerals,Tier 2,Low,973609.61,2020-12-02,True,True,Full
S0109,Vega Supply,Australia,Oceania,Low,5,Logistics,Tier 3,Medium,174512.38,2018-10-21,True,True,Partial
S0110,Lumen Supply,Canada,Americas,Low,5,IT Services,Tier 3,High,85262.9,2016-03-29,True,True,Full
S0111,Nimbus Materials,India,Asia,High,25,Metals & Minerals,Tier 1,Low,152016.35,2025-05-25,True,True,Partial
S0112,Vega Systems,Canada,Americas,Low,5,Logistics,Tier 1,Medium,239420.8,2025-07-13,True,True,Limited
S0113,Meridian Manufacturing,Canada,Americas,Low,5,Packaging,Tier 1,Low,136111.51,2016-02-26,True,True,Partial
S0114,Nimbus Logistics,New Zealand,Oceania,Low,5,Components,Tier 1,Low,633907.14,2025-04-11,False,False,Full
S0115,Vega Logistics,India,Asia,High,25,Chemicals,Tier 1,Low,237658.51,2025-08-18,True,True,Partial
S0116,Argent Industries,South Korea,Asia,Low,5,Components,Tier 3,Medium,219566.69,2024-07-10,True,True,Partial
S0117,Novatek Systems,Philippines,Asia,Medium,15,Facility,Tier 2,High,112425.91,2024-07-03,True,True,Limited
S0118,Meridian Systems,United States,Americas,Low,5,IT Services,Tier 2,Medium,41175.69,2019-03-02,True,True,Partial
S0119,Atlas Group,Malaysia,Asia,Medium,15,Metals & Minerals,Tier 2,Low,361209.51,2025-05-09,True,True,Limited
S0120,Orion Logistics,United Kingdom,Europe,Low,5,Components,Tier 2,High,179755.17,2022-12-15,True,True,Full
S0121,Helios Materials,Saudi Arabia,Middle East,Medium,15,Consulting,Tier 3,Low,52163.13,2022-02-22,True,True,Partial
S0122,Atlas Supply,Singapore,Asia,Low,5,Consulting,Tier 2,Medium,156445.21,2025-11-22,False,False,Limited
S0123,Nimbus Systems,United Arab Emirates,Middle East,Medium,15,Components,Tier 1,Low,375128.66,2024-10-07,True,True,Full
S0124,Novatek Systems,Morocco,Africa,Medium,15,Metals & Minerals,Tier 1,Low,143498.68,2023-05-27,True,True,Limited
S0125,Alpine Logistics,Germany,Europe,Low,5,IT Services,Tier 1,Medium,387101.03,2019-08-05,True,True,Full
S0126,Argent Partners,China,Asia,High,25,Metals & Minerals,Tier 1,Low,831926.19,2018-12-07,True,True,Limited
S0127,Aurora Industries,South Africa,Africa,Medium,15,Logistics,Tier 2,High,334206.02,2024-08-30,True,True,Partial
S0128,Eclipse Systems,South Korea,Asia,Low,5,Components,Tier 1,High,864139.72,2025-02-15,True,True,Partial
S0129,Novatek Systems,Morocco,Africa,Medium,15,Metals & Minerals,Tier 1,High,865012.42,2023-12-23,False,True,Full
S0130,Helios Partners,Malaysia,Asia,Medium,15,Logistics,Tier 1,Medium,3549031.09,2022-06-30,True,True,Partial
S0131,Aurora Materials,United States,Americas,Low,5,Logistics,Tier 2,Low,296761.03,2024-11-22,True,True,Partial
S0132,Zenith Components,Spain,Europe,Low,5,Logistics,Tier 2,Low,232953.48,2019-05-18,True,True,Partial
S0133,Cobalt Manufacturing,Indonesia,Asia,High,25,Components,Tier 1,Low,192952.09,2021-10-11,True,True,Partial
S0134,Meridian Systems,Singapore,Asia,Low,5,Components,Tier 1,Low,296262.89,2016-05-11,True,True,Partial
S0135,Helios Manufacturing,Vietnam,Asia,High,25,Components,Tier 2,Low,1938965.78,2018-11-11,False,True,Partial
S0136,Lumen Holdings,South Korea,Asia,Low,5,Tools & Machinery,Tier 1,Low,80390.01,2021-11-26,True,True,Full
S0137,Zenith Supply,Thailand,Asia,Medium,15,Facility,Tier 1,Medium,111575.25,2017-04-08,True,True,Partial
S0138,Nimbus Services,Australia,Oceania,Low,5,IT Services,Tier 2,Medium,330592.42,2021-03-21,True,True,Limited
S0139,Orion Systems,Saudi Arabia,Middle East,Medium,15,Packaging,Tier 1,Low,91835.76,2022-03-23,True,True,Partial
S0140,Eclipse Industries,China,Asia,High,25,Metals & Minerals,Tier 2,Low,524193.74,2016-11-07,True,True,Limited
S0141,Nimbus Industries,Indonesia,Asia,High,25,Consulting,Tier 1,Medium,168797.91,2021-05-27,True,True,Limited
S0142,Helios Services,Brazil,Americas,Medium,15,IT Services,Tier 1,Medium,96637.27,2022-05-15,True,True,Full
S0143,Zenith Holdings,Australia,Oceania,Low,5,Logistics,Tier 1,Low,32205.29,2023-12-12,True,True,Partial
S0144,Aurora Logistics,Philippines,Asia,Medium,15,IT Services,Tier 1,Medium,188935.97,2018-09-15,True,True,Full
S0145,Alpine Supply,Turkey,Europe/Asia,Medium,15,Components,Tier 1,Low,189935.68,2016-04-02,True,True,Partial
S0146,Vega Holdings,Taiwan,Asia,Low,5,Logistics,Tier 1,Low,148480.79,2025-08-14,True,True,Full
S0147,Nimbus Manufacturing,Germany,Europe,Low,5,Tools & Machinery,Tier 1,Medium,536299.03,2020-02-01,True,True,Partial
S0148,Lumen Holdings,Philippines,Asia,Medium,15,Packaging,Tier 1,Medium,325332.87,2017-09-24,True,True,Full
S0149,Novatek Materials,China,Asia,High,25,Logistics,Tier 1,Low,111306.59,2021-06-27,False,True,Full
S0150,Argent Components,Singapore,Asia,Low,5,Components,Tier 1,Low,212308.14,2023-02-21,True,True,Partial
S0151,Cobalt Supply,Vietnam,Asia,High,25,Logistics,Tier 2,Low,50451.81,2025-07-17,True,True,Partial
S0152,Atlas Materials,Australia,Oceania,Low,5,Components,Tier 1,Low,746198.49,2023-05-17,True,True,Partial
S0153,Nimbus Holdings,United Arab Emirates,Middle East,Medium,15,Consulting,Tier 1,Medium,888886.61,2020-03-11,True,True,Full
S0154,Eclipse Systems,Tunisia,Africa,Medium,15,Logistics,Tier 1,Low,371748.27,2018-06-23,True,True,Full
S0155,Orion Components,Italy,Europe,Low,5,Logistics,Tier 1,Medium,448439.44,2016-02-22,True,False,Partial
S0156,Zenith Systems,Italy,Europe,Low,5,Metals & Minerals,Tier 1,Medium,203276.38,2017-02-27,True,True,Full
S0157,Vega Services,China,Asia,High,25,Packaging,Tier 1,Medium,232130.63,2020-09-26,True,False,Partial
S0158,Vega Industries,Australia,Oceania,Low,5,Consulting,Tier 1,Low,302460.89,2016-12-23,True,True,Partial
S0159,Cascade Supply,Morocco,Africa,Medium,15,Logistics,Tier 1,Low,12173.13,2017-09-24,True,True,Full
S0160,Meridian Holdings,Philippines,Asia,Medium,15,Logistics,Tier 1,Medium,71717.49,2020-05-02,False,True,Full
S0161,Cascade Services,Malaysia,Asia,Medium,15,Components,Tier 2,Low,1123396.76,2022-05-07,False,True,Limited
S0162,Vega Materials,South Korea,Asia,Low,5,Metals & Minerals,Tier 2,Low,96937.85,2016-06-14,True,False,Partial
S0163,Lumen Services,Morocco,Africa,Medium,15,Components,Tier 1,Low,1134242.96,2021-01-10,True,True,Partial
S0164,Vega Materials,Germany,Europe,Low,5,Components,Tier 1,Low,113523.78,2024-07-23,True,True,Limited
S0165,Orion Holdings,Turkey,Europe/Asia,Medium,15,Metals & Minerals,Tier 2,High,222067.16,2016-09-14,True,True,Partial
S0166,Cascade Systems,South Korea,Asia,Low,5,Tools & Machinery,Tier 1,Low,518212.23,2022-06-02,True,True,Partial
