supplier_id,env_score,social_score,governance_score,last_update,data_source
S0001,75.75,68.01,68.71,2025-01-12,Third-party Rating
S0002,73.01,37.28,,2024-11-13,Supplier Questionnaire
S0003,74.11,81.48,68.76,2025-03-19,Supplier Questionnaire
S0004,81.53,,90.75,2025-05-27,Supplier Questionnaire
S0005,76.75,52.78,74.79,2024-12-21,Supplier Questionnaire
S0006,52.57,64.09,55.29,2025-03-14,Internal Assessment
S0007,66.44,82.34,63.4,2024-07-04,Supplier Questionnaire
S0008,67.95,56.72,49.13,2024-02-03,Third-party Rating
S0009,67.71,59.69,62.34,2025-03-21,Supplier Questionnaire
S0010,,48.27,57.98,2025-01-12,Internal Assessment
S0011,59.91,49.97,66.87,2025-01-09,Third-party Rating
S0012,76.4,63.53,,2024-10-16,Supplier Questionnaire
S0013,71.13,,69.13,2025-01-05,Internal Assessment
S0014,64.04,67.78,84.69,2025-05-27,Third-party Rating
S0015,52.92,33.84,36.77,2025-10-24,Supplier Questionnaire
S0016,51.16,74.26,77.78,2024-08-13,Third-party Rating
S0017,68.17,72.76,80.51,2024-03-24,Supplier Questionnaire
S0018,77.97,55.01,50.12,2024-09-26,Supplier Questionnaire
S0019,64.89,53.15,62.82,2024-02-28,Third-party Rating
S0020,75.77,73.14,66.49,2025-05-03,Supplier Questionnaire
S0021,64.1,87.93,,2025-04-09,Internal Assessment
S0022,70.19,68.48,77.83,2025-09-29,Supplier Questionnaire
S0023,65.88,72.34,62.71,2024-01-09,Third-party Rating
S0024,74.09,50.63,64.19,2024-12-20,Supplier Questionnaire
S0025,60.51,,70.44,2024-09-07,Third-party Rating
S0026,46.72,63.27,71.59,2025-09-09,Supplier Questionnaire
S0027,65.54,89.3,62.26,2024-08-11,Internal Assessment
S0028,79.19,62.81,83.9,2025-08-05,Supplier Questionnaire
S0029,77.89,70.12,66.79,2024-08-20,Internal Assessment
S0030,84.11,49.97,87.54,2025-03-14,Third-party Rating
S0031,82.33,81.52,,2024-11-10,Supplier Questionnaire
S0032,61.89,50.43,63.13,2024-01-19,Internal Assessment
S0033,79.1,78.75,,2024-10-26,Third-party Rating
S0034,58.91,72.32,43.35,2025-03-18,Supplier Questionnaire
S0035,54.66,57.89,59.76,2025-05-17,Supplier Questionnaire
S0036,77.8,,59.68,2024-01-21,Supplier Questionnaire
S0037,77.46,68.08,,2024-01-23,Internal Assessment
S0038,73.9,57.82,74.74,2024-01-18,Third-party Rating
S0039,64.41,84.18,69.05,2024-03-25,Third-party Rating
S0040,66.05,63.88,72.06,2025-10-10,Internal Assessment
S0041,81.73,72.44,66.03,2024-10-08,Internal Assessment
S0042,73.48,71.35,51.65,2024-04-22,Third-party Rating
S0043,,88.78,72.74,2024-11-17,Supplier Questionnaire
S0044,74.01,52.24,64.14,2024-05-22,Supplier Questionnaire
S0045,65.32,57.33,50.19,2025-02-27,Supplier Questionnaire
S0046,77.48,63.94,59.03,2025-04-02,Third-party Rating
S0047,38.7,54.57,62.91,2025-03-29,Internal Assessment
S0048,95.58,66.63,65.52,2024-01-29,Supplier Questionnaire
S0049,90.44,41.96,69.28,2025-01-24,Supplier Questionnaire
S0050,,54.66,,2025-08-02,Supplier Questionnaire
S0051,78.22,63.56,78.39,2024-12-18,Supplier Questionnaire
S0052,66.71,68.06,73.41,2024-09-30,Third-party Rating
S0053,,63.15,70.64,2025-01-08,Supplier Questionnaire
S0054,88.74,94.0,65.57,2025-09-23,Supplier Questionnaire
S0055,74.45,74.43,80.69,2025-02-22,Third-party Rating
S0056,82.45,85.99,77.16,2025-10-13,Supplier Questionnaire
S0057,68.94,23.72,69.9,2024-01-14,Internal Assessment
S0058,70.95,,63.83,2025-06-11,Supplier Questionnaire
