supplier_id,supplier_name,country,region,country_risk_level,country_risk_weight,category,tier,dependency_level,annual_spend_chf,onboarding_date,charter_signed,made_in_disclosed,traceability_level,env_score,social_score,governance_score,last_update,data_source,audited,audit_date,audit_score,non_compliance_level,action_deadline_days,audited_by_third_party,incident_penalty,esg_fields_present,esg_completeness,env_score_imputed,social_score_imputed,governance_score_imputed,dependency_penalty,tier_penalty,traceability_penalty,charter_penalty,made_in_penalty,audit_penalty,risk_score,risk_class,spend_exposure_class,recommended_action
S0001,Eclipse Supply,Malaysia,Asia,Medium,15,Metals & Minerals,Tier 2,Low,452847.07,2023-04-25,True,True,Partial,75.75,68.01,68.71,2025-01-12,Third-party Rating,True,2025-11-08,93.09,None,365.0,False,0.0,3,1.0,75.75,68.01,68.71,0,4,4,0,0,0.0,45.8488,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0002,Lumen Partners,Indonesia,Asia,High,25,Packaging,Tier 1,Low,145712.18,2021-12-25,True,True,Full,73.01,37.28,,2024-11-13,Supplier Questionnaire,True,2025-10-27,74.81,None,365.0,True,0.0,2,0.6666666666666666,73.01,37.28,69.13,0,0,0,0,0,0.0,56.2736,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0003,Atlas Logistics,South Africa,Africa,Medium,15,Components,Tier 1,Medium,296895.25,2016-07-31,True,True,Partial,74.11,81.48,68.76,2025-03-19,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,74.11,81.48,68.76,2,0,4,0,0,6.0,44.903999999999996,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0004,Aurora Industries,Spain,Europe,Low,5,Components,Tier 2,Low,252364.28,2024-08-27,True,True,Full,81.53,,90.75,2025-05-27,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,81.53,65.88,90.75,0,4,0,0,0,2.0,30.529600000000002,Low Risk,Medium Spend,Approved; monitor annually
S0005,Meridian Services,Taiwan,Asia,Low,5,Packaging,Tier 1,High,921146.05,2016-03-16,True,True,Partial,76.75,52.78,74.79,2024-12-21,Supplier Questionnaire,True,2024-09-09,73.46,Minor,180.0,False,0.0,3,1.0,76.75,52.78,74.79,5,0,4,0,0,7.0,52.2152,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0006,Cascade Supply,Indonesia,Asia,High,25,Components,Tier 1,Medium,661592.54,2025-09-10,True,False,Limited,52.57,64.09,55.29,2025-03-14,Internal Assessment,True,2024-05-16,65.83,Major,30.0,True,0.0,3,1.0,52.57,64.09,55.29,2,0,10,0,5,16.0425,88.7441,High Risk,Medium Spend,Immediate corrective action + 30-day follow-up
S0007,Meridian Systems,Tunisia,Africa,Medium,15,Components,Tier 2,Low,209056.31,2017-10-25,True,True,Full,66.44,82.34,63.4,2024-07-04,Supplier Questionnaire,True,2025-08-29,63.28,Minor,180.0,True,10.0,3,1.0,66.44,82.34,63.4,0,4,0,0,0,8.68,54.6028,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0008,Meridian Systems,Malaysia,Asia,Medium,15,Metals & Minerals,Tier 2,Low,469764.35,2017-10-31,True,True,Full,67.95,56.72,49.13,2024-02-03,Third-party Rating,False,,,,,False,0.0,3,1.0,67.95,56.72,49.13,0,4,0,0,0,6.0,60.8144,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0009,Atlas Group,South Korea,Asia,Low,5,Logistics,Tier 2,Medium,167887.75,2020-04-25,True,True,Full,67.71,59.69,62.34,2025-03-21,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,67.71,59.69,62.34,2,4,0,0,0,2.0,47.96640000000001,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0010,Meridian Systems,Mexico,Americas,Medium,15,Metals & Minerals,Tier 3,Medium,50364.92,2018-11-28,True,True,Partial,,48.27,57.98,2025-01-12,Internal Assessment,True,2024-10-02,81.19,Minor,180.0,True,19.0,2,0.6666666666666666,67.95,48.27,57.98,2,8,4,0,0,7.0,82.81240000000001,High Risk,Low Spend,Prioritize for audit and mitigation plan
S0011,Vega Group,India,Asia,High,25,Metals & Minerals,Tier 1,Medium,159243.93,2018-12-02,True,True,Partial,59.91,49.97,66.87,2025-01-09,Third-party Rating,True,2025-01-24,56.48,None,365.0,False,0.0,3,1.0,59.91,49.97,66.87,2,0,4,0,0,3.380000000000001,64.9688,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0012,Lumen Materials,Morocco,Africa,Medium,15,Components,Tier 3,Low,299261.28,2019-08-30,True,True,Full,76.4,63.53,,2024-10-16,Supplier Questionnaire,True,2025-08-11,57.12,Minor,180.0,False,0.0,2,0.6666666666666666,76.4,63.53,69.62,0,8,0,0,0,10.22,57.38759999999999,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0013,Eclipse Industries,United Arab Emirates,Middle East,Medium,15,IT Services,Tier 1,Low,525717.36,2017-12-29,True,True,Full,71.13,,69.13,2025-01-05,Internal Assessment,False,,,,,False,0.0,2,0.6666666666666666,71.13,64.79,69.13,0,0,0,0,0,6.0,46.296,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0014,Nimbus Materials,Japan,Asia,Low,5,Facility,Tier 2,Low,115480.85,2021-02-19,True,True,Full,64.04,67.78,84.69,2025-05-27,Third-party Rating,True,2024-07-23,78.73,None,365.0,True,0.0,3,1.0,64.04,67.78,84.69,0,4,0,0,0,0.0,34.606,Low Risk,Low Spend,Approved; monitor annually
S0015,Helios Systems,India,Asia,High,25,Metals & Minerals,Tier 2,Medium,196896.26,2022-01-26,False,True,Partial,52.92,33.84,36.77,2025-10-24,Supplier Questionnaire,True,2025-09-23,47.82,Major,30.0,True,6.0,3,1.0,52.92,33.84,36.77,2,4,4,12,0,20.545,100.0,High Risk,Low Spend,Immediate corrective action + 30-day follow-up
S0016,Meridian Partners,Brazil,Americas,Medium,15,Chemicals,Tier 1,Low,177857.52,2017-09-14,True,True,Limited,51.16,74.26,77.78,2024-08-13,Third-party Rating,False,,,,,False,0.0,3,1.0,51.16,74.26,77.78,0,0,10,0,0,6.0,55.3316,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0017,Novatek Industries,Switzerland,Europe,Low,5,Logistics,Tier 1,Low,100658.52,2022-11-02,True,False,Limited,68.17,72.76,80.51,2024-03-24,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,68.17,72.76,80.51,0,0,10,0,5,2.0,45.795199999999994,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0018,Zenith Materials,Canada,Americas,Low,5,Tools & Machinery,Tier 3,Low,184299.87,2020-05-25,True,True,Partial,77.97,55.01,50.12,2024-09-26,Supplier Questionnaire,True,2024-06-25,70.86,None,365.0,True,0.0,3,1.0,77.97,55.01,50.12,0,8,4,0,0,0.0,54.876000000000005,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0019,Meridian Partners,Spain,Europe,Low,5,IT Services,Tier 3,Low,104654.46,2016-05-05,True,True,Limited,64.89,53.15,62.82,2024-02-28,Third-party Rating,False,,,,,False,0.0,3,1.0,64.89,53.15,62.82,0,8,10,0,0,2.0,63.2184,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0020,Eclipse Manufacturing,Singapore,Asia,Low,5,Facility,Tier 1,Low,69830.86,2025-02-01,False,True,Partial,75.77,73.14,66.49,2025-05-03,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,75.77,73.14,66.49,0,0,4,12,0,2.0,49.0016,Medium Risk,Low Spend,Request signature/commitment before continuation
S0021,Argent Systems,Italy,Europe,Low,5,Components,Tier 1,Low,691413.47,2019-02-11,True,True,Full,64.1,87.93,,2025-04-09,Internal Assessment,False,,,,,False,0.0,2,0.6666666666666666,64.1,87.93,69.62,0,0,0,0,0,2.0,29.351599999999998,Low Risk,Medium Spend,Approved; monitor annually
S0022,Novatek Partners,France,Europe,Low,5,Components,Tier 3,High,140224.94,2021-03-13,True,True,Partial,70.19,68.48,77.83,2025-09-29,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,70.19,68.48,77.83,5,8,4,0,0,2.0,49.7992,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0023,Helios Supply,Spain,Europe,Low,5,Facility,Tier 2,Medium,47807.23,2025-09-08,True,True,Partial,65.88,72.34,62.71,2024-01-09,Third-party Rating,False,,,,,False,0.0,3,1.0,65.88,72.34,62.71,2,4,4,0,0,2.0,47.3004,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0024,Helios Industries,Japan,Asia,Low,5,Packaging,Tier 1,Low,190515.53,2023-09-30,True,True,Limited,74.09,50.63,64.19,2024-12-20,Supplier Questionnaire,False,,,,,False,7.0,3,1.0,74.09,50.63,64.19,0,0,10,0,0,2.0,57.062000000000005,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0025,Orion Logistics,Tunisia,Africa,Medium,15,Facility,Tier 2,Low,249759.65,2016-11-18,True,True,Full,60.51,,70.44,2024-09-07,Third-party Rating,True,2025-06-29,63.76,None,365.0,False,0.0,2,0.6666666666666666,60.51,66.305,70.44,0,4,0,0,0,1.5600000000000005,47.8044,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0026,Eclipse Industries,India,Asia,High,25,Components,Tier 3,Low,266937.3,2017-12-16,True,True,Full,46.72,63.27,71.59,2025-09-09,Supplier Questionnaire,True,2025-02-06,65.04,Minor,180.0,True,0.0,3,1.0,46.72,63.27,71.59,0,8,0,0,0,8.239999999999998,68.6916,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
