supplier_id,supplier_name,category,country,region,annual_spend_chf,risk_score,risk_class,recommended_action,esg_completeness,data_source,last_update
S0001,Eclipse Supply,Metals & Minerals,Malaysia,Asia,452847.07,45.8488,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-01-12
S0002,Lumen Partners,Packaging,Indonesia,Asia,145712.18,56.2736,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-11-13
S0003,Atlas Logistics,Components,South Africa,Africa,296895.25,44.903999999999996,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-03-19
S0004,Aurora Industries,Components,Spain,Europe,252364.28,30.529600000000002,Low Risk,Approved; monitor annually,0.6666666666666666,Supplier Questionnaire,2025-05-27
S0005,Meridian Services,Packaging,Taiwan,Asia,921146.05,52.2152,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-12-21
S0006,Cascade Supply,Components,Indonesia,Asia,661592.54,88.7441,High Risk,Immediate corrective action + 30-day follow-up,1.0,Internal Assessment,2025-03-14
S0007,Meridian Systems,Components,Tunisia,Africa,209056.31,54.6028,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-07-04
S0008,Meridian Systems,Metals & Minerals,Malaysia,Asia,469764.35,60.8144,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-02-03
S0009,Atlas Group,Logistics,South Korea,Asia,167887.75,47.96640000000001,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-03-21
S0010,Meridian Systems,Metals & Minerals,Mexico,Americas,50364.92,82.81240000000001,High Risk,Prioritize for audit and mitigation plan,0.6666666666666666,Internal Assessment,2025-01-12
S0011,Vega Group,Metals & Minerals,India,Asia,159243.93,64.9688,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-01-09
S0012,Lumen Materials,Components,Morocco,Africa,299261.28,57.38759999999999,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-10-16
